disease,symptom_cleaned,Causes,Symptoms
dementia,"getting help with your mental health, care information scotland, people can, and do, live a good life with dementia for years. because dementia is progressive and affects different people in different ways, it’s important to continue to do what matters to you., carers trust, alzheimer’s research uk, mindfulness for mental wellbeing, dementia can affect your ability to remember, think and speak",,"., carers trust, care information scotland, ability to remember, affects different people, matters to, different ways, also affects, age scotland, research uk, relaxation exercises"
dental abscess,"these measures can help relieve your symptoms temporarily, but you shouldn’t use them to delay getting help from a dentist., a tender, discoloured and/or loose tooth, shiny, red and swollen gums, sensitivity to hot or cold food and drink, symptoms of an abscess in your tooth or gum may include:, pain that spreads to your ear, jaw and neck on the same side as the affected tooth or gum, an intense, throbbing pain in the affected tooth or gum that may come on suddenly and gets gradually worse, pain that’s worse when lying down, which may disturb your sleep, root canal treatment – a procedure to remove the abscess from the root of an affected tooth before filling and sealing it, bad breath and/or an unpleasant taste in your mouth, incision and drainage – where a small cut (incision) is made in the gum to drain the abscess (this is usually only a temporary solution and further treatment may be needed), removing the affected tooth (extraction) – this may be necessary if root canal treatment isn’t possible, redness and swelling in your face",,"needed ), removing, to delay getting, sensitivity to hot, procedure to remove, gets gradually worse, root canal treatment, gum to drain, spreads to, unpleasant taste, temporary solution"
depression,"some people who have severe depression will also experience symptoms of psychosis – these are hallucinations and delusional thinking., difficulties with your family or home life, neglecting interests and hobbies, other symptoms include:, withdrawal symptoms occur very soon after stopping the tablets, so can easily be told apart from symptoms of depression relapse, which tend to occur after a few weeks., social symptoms are common too",,"trouble falling asleep, told apart from, statutory sick pay, personal independence payment, longer worth living, health food shops, excessively high moods, buy from pharmacies, fewer social activities, obvious reason ., "
dermatitis herpetiformis,"stomach pain, certain kinds of gut cancer, dh is caused by the body’s immune system reacting to a protein called gluten in foods containing wheat, barley and rye. this reaction causes a skin rash to develop., dh affects around 1 in 10,000 people",increased risk of,"type 1 diabetes, protein called gluten, like :, diarrhoea, given to control, foods containing wheat, complain of gut, thyroid disease, stomach pain, skin itching"
diabetes,"the main symptoms of diabetes are:, you should therefore visit your gp as soon as possible if you have symptoms, such as feeling thirsty, passing urine more often than usual, and feeling tired all the time., cuts or wounds that heal slowly, cystic fibrosis-related diabetes, feeling very thirsty, diabetes caused by surgery or hormonal imbalances, diabetes caused by rare syndromes, different types of monogenic diabetes, type 1 diabetes is less common than type 2 diabetes. in the uk, it affects about 10% of all adults with diabetes",,"years without realising, time ., cuts, type 2 diabetes, type 2 diabetes, type 2 diabetes, type 1 diabetes, level to become, able to control, general ., , related diabetes"
diabetic retinopathy,"a small, but permanent, blind spot close to the centre of your vision, fluid build-up in the cornea (outer layer at the front of the eye), floaters or a feeling of having something in your eye, however, early signs of the condition can be picked up by taking photographs of the eyes during diabetic eye screening., bleeding inside the eye, these symptoms don’t necessarily mean you have diabetic retinopathy, but it’s important to get them checked out. don’t wait until your next screening appointment",,"take public transport, floaters ), eating, 14 alcohol units, try to cut, to wear sunglasses, to stop driving, to regularly drink, relative to drive, need to arrange, important to get"
diarrhoea,"bacteria – such as campylobacter and escherichia (e. coli), which are often picked up from contaminated food, a virus – such as norovirus or rotavirus, there are many different causes of diarrhoea. a bowel infection (gastroenteritis) is a common cause in both adults and children",,"from contaminated food, nothing to worry, guide to check, contaminated water, days to, virus –, of diarrhoea, normally clears, next ., , coli ), "
discoid eczema,"patches of discoid eczema can sometimes become infected. signs of an infection can include:, antibiotics – for infected eczema, discoid eczema is usually a long-term problem, but medications are available to help relieve the symptoms and keep the condition under control., protecting your skin from minor cuts (for example, by wearing gloves) as they may trigger discoid eczema, antihistamines are a type of medicine that work by stopping the effects of a substance in the blood called histamine",,"yellow crust developing, modern “ non, school ., chills, oral corticosteroids –, exposed to ultraviolet, wide range of, type of medicine, sometimes become infected, lot of fluid, topical corticosteroids –"
diverticular disease and diverticulitis,"shortness of breath, wholemeal bread – 2 slices of wholemeal bread contain 3.5g of fibre, lower abdominal pain, muesli (no added sugar) – 1 medium-sized bowl of muesli contains 3.4g of fibre, if you have established diverticular disease, it may be suggested that you avoid eating nuts, corn and seeds due to the possibility that they could block the diverticular openings and cause diverticulitis",,"experiencing heavy bleeding, check fibre content, sized bowl of, shortness of breath, vomiting ), feeling, 9g of fibre, 9g of fibre, 9g of fibre, 8g of fibre, 8g of fibre"
dizziness (lightheadedness),"less common causes of dizziness are:, the most common causes of dizziness are:, your gp will ask about your symptoms and may check if you have vertigo.",,"of dizziness, of dizziness, vertigo, less, gp, check, ask, :, , :, "
dry mouth,"radiotherapy to the head and neck – this can cause the salivary glands to become inflamed (mucositis), if your doctor or dentist is able to find out what’s causing your dry mouth, treating this may help your symptoms., if you contact your dentist or gp, tell them about any other symptoms you’re experiencing. also tell them about any treatments you’re having",,"immune system attacks, able to find, ., diabetes –, syndrome –, neck –, medication –, to dry, salivary glands, radiotherapy to, mucositis ), "
dysphagia (swallowing problems),"learning disabilities – where learning, understanding, and communicating are difficult, infections, such as tuberculosis or thrush – these can lead to inflammation of the oesophagus (oesophagitis), oesophagus (the tube that carries food from your mouth to your stomach), known as oesophageal or ‘low’ dysphagia, over time, dysphagia can also cause symptoms such as weight loss and repeated chest infections., some causes of obstruction and narrowing include:, symptoms of aspiration pneumonia can range from mild to severe, and it is usually treated with antibiotics. severe cases will require hospital admission and treatment with intravenous antibiotics (through a drip)",,"require hospital admission, proton pump inhibitors, percutaneous endoscopic gastrostomy, large sac develops, accidentally inhaling something, to treat indigestion, surgery to widen, safer to swallow, reaction to foods, ability to swallow"
dystonia,"certain medications (like some antipsychotics and some anti sickness medications), you might have surgery if your dystonia symptoms don’t improve with other treatments., limbs (like writer’s cramp), uncontrolled muscle spasms, depending on your symptoms, you might have a blood test or scan., parts of your body twisting into unusual positions – like your neck being pulled to the side or your feet turning inwards, the muscles around your eyes (blepharospasm), injury to the brain, parkinson’s disease, excessive blinking, cerebral palsy, the symptoms may be continuous or come and go",,"treatments ., limbs, feet turning inwards, body ., stroke, laryngeal dystonia ), , like writer ’, tremors ), , body twisting, secondary dystonia, parts of, parkinson ’"
earache,"glue ear (also known as otitis media with effusion, or ome) is a build-up of fluid deep inside the ear, which commonly causes some temporary hearing loss. the condition tends to be painless, but sometimes the pressure of this fluid can cause earache., outer ear infections (infections of the tube connecting the outer ear and eardrum) and middle ear infections (infections of the parts of the ear behind the eardrum) are very common causes of earache","middle ear infections, infections of, infections of","temporary hearing loss, guide to check, condition tends to, tube connecting, pressure of, parts of, outer ear"
earwax build-up,"ear irrigation – a quick and painless procedure where an electric pump is used to push water into your ear and wash the earwax out, being elderly, as earwax becomes drier with age, if the earwax is only causing minor problems, you can try buying some eardrops from a pharmacy. using drops may make your hearing or symptoms a little worse at first before getting better. these can help soften the earwax so that it falls out naturally",,"causing minor problems, :, bony growths, to push water, outer part of, hairy ear canals, ear irrigation –, earwax becomes drier, to suck, need to, using drops"
eating disorders,"binge eating – where a person feels they have to overeat through regular binges, anorexia nervosa – where a person tries to keep their weight as low as possible by strictly controlling and limiting what they eat, some conditions involve food and eating, but aren’t related to concerns about weight or body shape. these include avoidant/restrictive food intake disorder (arfid). arfid causes a person to avoid certain foods or types of food, restrict how much they eat, or both",related to concerns,"conditions involve food, anorexia nervosa –, social pressure to, ., bulimia –, types of food, binge eating –, to overeat, everybody ., , taking laxatives"
ebola virus disease,"ebola can’t be caught through routine social contact, such as shaking hands, with people who don’t have symptoms., these symptoms start suddenly between 2 and 21 days after becoming infected.",,"routine social contact, start suddenly, shaking hands, becoming infected, 21 days, ’, ’, people, ebola, caught"
ectopic pregnancy,"it’s important to get medical help quickly if you have any of these symptoms., symptoms usually start when you’re about 6 weeks pregnant and can include:, pain low down and on one side of your abdomen, pain in the tip of your shoulder, discomfort when going to the toilet, a brown watery discharge from your vagina, bleeding from your vagina",,"6 weeks pregnant, one side of, :, pain low, tip of, going to, bleeding from, pain, of, ’, ’"
endometriosis,"not everyone with endometriosis needs to have a laparoscopy if their symptoms can be managed., it can be helpful to keep a note of your period dates (pdf, 238kb) and symptoms using a calendar, a diary or an app. you can discuss this with your doctor to help them understand what you’re experiencing",,"medical instrument )., pelvic ultrasound scan, month to month, like heavy periods, hormone replacement therapy, helpful to keep, hard to talk, production of oestrogen, helped to manage, ., contraceptive patch"
epilepsy,"keeping a seizure diary is a good way to help find out what might trigger your seizures. every time you have a seizure, record it and make a note of what you were doing. over time, you might notice some avoidable things that seem to trigger your symptoms",,"to 2 minutes, severe head injuries, making random noises, hard to describe, good way to, difficult to diagnose, general strange feeling, possible to predict, consistent pattern of, seem to trigger"
erectile dysfunction (impotence),"depression, erectile dysfunction can often have both physical and psychological causes. for example, if you have diabetes, it may be difficult for you to get an erection, which may cause you to become anxious about the situation. the combination of diabetes and anxiety may lead to an episode of erectile dysfunction",,"underactive thyroid gland, rubber ring around, past sexual abuse, overactive thyroid gland, involve answering questions, excessive alcohol intake, much thyroid hormone, male sex hormone, enough thyroid hormone, digital rectal examination"
escherichia coli (e. coli) o157,"bruising, symptoms include diarrhoea, stomach cramps and occasionally fever. about half of people with the infection will have bloody diarrhoea., tiredness, swelling, a small number of people with e",coli o157 infection,"14 days afterwards, ., peeing less, half of people, completely free of, people become infected, of hus, stomach cramps, occasionally fever, hus )."
ewing sarcoma,"the symptoms of ewing sarcoma will depend on the size of the cancer and where it is in the body., ewing sarcoma most commonly affects people who are 10 to 20 years old., in some cases of ewing sarcoma, there may not be any symptoms at all",,"gets progressively worse, commonly affects people, of ewing sarcoma, weight loss ., , of bone pain, size of, tenderness ., , affected bone, tumour grows, high temperature"
ewing sarcoma: children,"feeling sick (nausea) and being sick (vomiting), treatment often causes side effects. your child’s doctor will discuss this with you before the treatment starts. any possible side effects will depend on the actual treatment being used and the part of the body that’s being treated",,"treated ., pain, people ., bruising, vomiting ), treatment, possible side effects, side effects, young people, treatment starts, actual treatment, vary depending, surface of"
eye cancer,"squamous cell carcinoma, retinoblastoma – a childhood cancer, these symptoms can also be caused by more minor eye conditions, so they’re not necessarily a sign of cancer. however, it’s important to get the symptoms checked by a doctor as soon as possible., eye melanoma most commonly affects the eyeball",,"squamous cell carcinoma, important to get, doctors sometimes call, flashes of light, sign of cancer, minor eye conditions, of eye cancer, part of, childhood cancer, eye cancer"
farting,"conditions affecting the digestive system like indigestion or irritable bowel syndrome (ibs), swallowing more air than usual, eating foods that are difficult to digest, some medicines like non-steroidal anti-inflammatory drugs (nsaids), statins and some laxatives",,"nsaids ), statins, medicines like non, irritable bowel syndrome, ibs ), swallowing, difficult to digest, steroidal anti, inflammatory drugs, eating foods, conditions affecting, usual"
febrile seizures,"flu (influenza), read more about the symptoms of febrile seizures, middle ear infections (otitis media), a lack of tears when crying, a dry mouth, a high temperature is thought to be caused by a bacterial or viral infection that stimulates the release of cytokines. cytokines are proteins that affect the parts of the brain and nervous system responsible for regulating the body’s temperature. their release causes a rise in the body’s temperature",middle ear infections,"nervous system responsible, lack of tears, lack of fluid, otitis media ), , normal pattern ., , ill ., tonsillitis, complex febrile seizures, to last longer, needed to test"
feeling of something in your throat (globus),"there are things you can do to help your globus symptoms at home, without the need to attend your gp., vary from day to day, there are a number of things you can do to try to relieve globus symptoms., be most noticeable you’re swallowing your saliva, in most people, symptoms will get better following these self-help tips",stopping smoking,"get better following, number of things, ., get worse, need to attend, need to, irritation to, excess weight, ear nose, :, losing"
fever in adults,"find out more about your fever symptoms, complete our self-help guide to check your symptoms and find out what to do next., there are a things you can do to help your symptoms.",,"guide to check, next ., , to, to, things, self, find, find, fever, complete"
fever in children,"vomiting, sometimes a high temperature in children is associated with more serious signs and symptoms, such as:, find out more about fever symptoms in babies and children under 2 years of age, kidney or urinary tract infections (utis), breathlessness, pneumonia – inflammation of the lung tissue, usually caused by an infection, upper respiratory tract infections (rtis), fits or seizures, rash, tonsillitis, complete our self-help guide to check your child’s symptoms and find out what to do next., septicaemia – infection of the blood, common childhood illnesses, such as chickenpox and whooping cough, potentially serious causes of fever are relatively rare., roseola – a virus that causes a temperature and a rash, meningitis – infection of the meninges, the protective membranes that surround the brain and spinal cord, ear infections","urinary tract infections, ear infections","utis ), breathlessness, rtis ), fits, guide to check, whooping cough, spinal cord, serious signs, protective membranes, potentially serious"
fibroids,"in rare cases, surgery, a frequent need to urinate, symptoms which are affecting your day to day life, submucosal – fibroids that develop in the muscular layer of the womb beneath the womb’s inner lining (endometrium) and grow into the inside of the womb, many people don’t know that they have fibroids because they don’t have any symptoms. this is nothing to worry about., medicines that can shrink fibroids by lowering your oestrogen and progesterone levels, heavy periods, however, if you do have symptoms, your doctor can recommend the right treatment for you",,"type of fibroid, pedunculated – subserosal, outside part of, muscular layer of, nothing to worry, muscular wall of, submucosal – fibroids, wall of, intramural –, inside of"
fibromyalgia,"other medications can be used for the treatment of fibromyalgia symptoms, but they’re likely to be less effective., you’ll be asked about how your symptoms are affecting your daily life. you’ll be examined to check for signs of other conditions",risks .,"less effective ., , fibromyalgia ., medication, treatment of fibromyalgia, examined to check, ., fibromyalgia, , treatments to, to rule, speak to, of fibromyalgia"
flu,"flu symptoms:, loss of appetite, your symptoms don’t improve after 7 days, a headache, complete our self-help guide to check your symptoms and find out what to do next., some of the main symptoms of flu include:, sneezing, tiredness and weakness, usually include fever and aching muscles, you have a long-term medical condition – for example, diabetes or a condition that affects your heart, lungs, kidneys, brain or nerves, the symptoms of flu usually develop 1 to 3 days after becoming infected. most people will feel better within a week",,"sudden high temperature, still get around, feel better within, recovery ., cold, also get pain, guide to check, :, mainly affect, tummy pain, next ., , recommend antibiotics"
food allergy,"alternative blood tests (leukocytotoxic tests) – claim to detect food allergies by checking for the “swelling of white blood cells”, redness around the anus, rectum and genitals, kinesiology testing – claims to detect food allergies by studying your muscle responses, increased breathing difficulties – such as wheezing and a cough, mixed ige and non-ige-mediated food allergies – some people may experience symptoms from both types., if you think someone has the symptoms of anaphylaxis – such as breathing difficulties, lightheadedness, and feeling like they’re going to faint or lose consciousness – call 999., heartburn and indigestion caused by stomach acid leaking up out of the stomach (gastro-oesophageal reflux disease), the symptoms of a severe allergic reaction (anaphylaxis) can be sudden and get worse very quickly",diet .,"parents mistakenly assume, babies – excessive, tingling, ., difficulty swallowing, would expect to, possible to deactivate, much less obvious, largely confined to, going to faint, difficult to diagnose"
food poisoning,"feeling sick (nausea), the symptoms of food poisoning usually begin within 1 to 2 days of eating contaminated food. they can also start a few hours later or several weeks later., being sick (vomiting), stomach cramps and abdominal pain, loss of appetite, chills, diarrhoea, which may contain blood or mucus, aching muscles, symptoms of food poisoning include:, a high temperature of 38c or above (fever), a lack of energy and weakness",,"of food poisoning, of food poisoning, loss of appetite, lack of energy, nausea ), , hours later, fever ), , contain blood, also start, aching muscles"
fragility fracture of the hip,"in some circumstances your healthcare professional may suggest a different treatment path. this could be because you have no pain, mild symptoms or that undergoing an operation may not be suitable because of other health concerns., most people who sustain a fractured hip will require extra nutrition to help their bodies recover from the injury and subsequent operation",,"health concerns ., , discharged from hospital, different treatment path, bodies recover from, healthcare professional ., , fragility fracture of, healthcare professional, gp practice, got worse, experiencing new"
frozen shoulder,"pain and persistent stiffness in the shoulder joint are the two main symptoms of a frozen shoulder., the symptoms of a frozen shoulder usually get worse gradually, over a number of months., there are three separate stages to the condition but sometimes these stages may be difficult to distinguish",,"vary from mild, possible to move, difficult to distinguish, get worse gradually, shoulder pain worsens, new pain ., , frozen shoulder ., , to severe, experiencing new, frozen shoulder"
functional neurological disorder,"depression, chronic pain, including fibromyalgia, back and neck pain, and complex regional pain syndrome, there are treatments available that can manage and improve fnd. these treatments are all forms of rehabilitation therapy, which aims to improve your ability to carry out every day activities. many of these treatments are designed to ‘retrain the brain’",,"using research tools, traumatic stress disorder, past traumatic events, much ), migraines, fowlers syndrome ), , every day activities, carpal tunnel syndrome, lot from treatment, receiving messages to, hard to describe"
fungal nail infection,"a fungal nail infection may not cause any obvious symptoms at first., itching, loss of sense of taste, headache, diarrhoea, the infection develops slowly and causes the nail to become discoloured, thickened and distorted., a rash","infection develops slowly, fungal nail infection","first ., itching, distorted ., , thickened, rash, obvious, headache, diarrhoea"
gallbladder cancer,"an endoscopic retrograde cholangiopancreatography (ercp), the cancer research uk website has more information about the risks and causes of gallbladder cancer., feeling sick, biopsy and fine needle aspiration (fna), in the early stages, gallbladder cancer doesn’t cause symptoms, which means it could be at an advanced stage by the time it’s diagnosed., these symptoms could be linked to a number of conditions and may not be related to gallbladder cancer",,"unexplained weight loss, magnetic resonance cholangiopancreatography, fine needle aspiration, endoscopic retrograde cholangiopancreatography, digestive system )., , loss of appetite, suspect gallbladder cancer, number of conditions, of gallbladder cancer, gallbladder cancer"
gallstones,"your gp may also recommend having blood tests to look for signs of infection, or to check if your liver is working normally. if gallstones have moved into your bile duct, the liver may not be able to function properly., the symptoms of gallbladder cancer are similar to those of complicated gallstone disease, including:, being sick, the gallbladder isn’t an essential organ and you can lead a perfectly normal life without one","additional risk factors, healthy diet to, signs of infection","unlike biliary colic, every 10 adults, wish to avoid, try to identify, to 5 days, sign test to, made of cholesterol"
ganglion cyst,"most symptoms settle with time., trapping of nerve branches in the scar, persistent pain, infection, surgery is considered if it causes significant pain or restricts movement in your joint. however, there’s a chance it will come back even after surgery",,"come back even, restricts movement, ganglion cyst, become noticeable, significant pain, persistent pain, pain from, pain, ’, worn"
gastro-oesophageal reflux disease (gord),"you may only need to take medication when you experience symptoms, although long-term treatment may be needed if the problem continues., ulcers (sores) on the oesophagus – these may bleed and make swallowing painful, you’ll be asked to press a button on the recorder every time you become aware of your symptoms and to record your symptoms in a diary. you should eat as you normally would during the test to ensure an accurate result",,"use extra pillows, uncomfortable burning sensation, recorder every time, magnetic bead band, learning relaxation techniques, hour ph monitoring, unexplained weight loss, unexplained weight loss, to take alongside, test to ensure"
gastroenteritis,"a mild fever, gastroenteritis is a very common condition that causes diarrhoea and vomiting. it’s usually caused by a bacterial or viral tummy bug., it affects people of all ages, but is particularly common in young children",risk of passing,"typically last less, loss of appetite, least 48 hours, least 48 hours, serious problem ., , laboratory to confirm, laboratory to check, affects people of, away from school"
genital herpes,"as there’s no screening test for herpes, partners should only have a test if they also have symptoms., spots or red bumps around the genital area, flu-like symptoms, backache, headache and a temperature, if you do get symptoms, it takes usually 2 to 12 days after contact for them to appear. some people don’t get symptoms until months or sometimes years later",,"week 26 of, mild swelling of, head of penis, unable to pee, likely to happen, able to diagnose, skin without causing, red bumps around, of genital herpes, to check"
genital warts,"scarring, wound infection, surgery, bleeding, cream or liquid, freezing, unprotected vaginal, anal, or oral sex (sex without a condom), sharing sex toys with an infected person, the hpv vaccination will reduce your risk of getting hpv virus which causes warts. however, it doesn’t treat warts once you have them., they don’t usually cause symptoms but can sometimes be painful, itchy or bleed",wound infection,"unprotected vaginal, sex without, oral sex, infected person, hpv vaccination, treat warts, warts, ’, ’"
germ cell tumours,"feeling sick (nausea) and being sick (vomiting), the symptoms depend on where the tumour develops. usually it starts with a lump that can either be felt or causes other symptoms., treatment often causes side effects, and your child’s doctor will discuss these with you before treatment starts",,"of different cancers, vomiting ), , tumour develops, specialist nurse, side effects, possible problems, hair loss, ., treatment, ., tiredness, treatment starts"
glandular fever,"complete this guide to assess your symptoms and find out if you should visit a&e, your gp, pharmacist or treat your condition at home., symptoms of glandular fever are thought to take around 1 to 2 months to develop after infection with the epstein-barr virus (ebv)., read more about the symptoms of glandular fever",,"sudden knock could, extreme tiredness ), , energy levels improve, cmv ), rubella, avoid contact sports, feel persistently fatigued, vulnerable to damage, important to avoid, guide to assess, short time ., "
golfers elbow,"golfer’s elbow symptoms develop when there’s a problem with the tendons around the elbow.  these tendons help with gripping activities., high fat diet, diabetes (type 1 and 2), lifting, obesity, writing, this information is useful for those who have been diagnosed with golfer’s elbow",,"high cholesterol levels, 2 ), lifting, forearm ., twisting, ., pulling, type 1, medial epicondylitis, inside of, healthcare professional, got worse, experiencing new"
gonorrhoea,"bleeding in between periods or after sex, pain or a burning sensation when peeing, green or yellow fluid coming out of the penis, discomfort and swelling of the testicles, symptoms of gonorrhoea may include:, pain in the lower tummy, particularly during sex, gonorrhoea can also infect the throat, eyes or anus. you may experience pain or discharge in these areas. gonorrhoea in the throat usually has no symptoms",,"yellow fluid coming, lower tummy, burning sensation, also infect, swelling of, experience pain, :, pain, of gonorrhoea, pain, of"
gout,"signs and symptoms of gout include:, toes, especially the big toe, small firm lumps of urate crystals under the skin called tophi, the joint feeling hot and very tender, obesity, high blood pressure and/or diabetes, any joint can be affected by gout, but it usually affects joints towards the ends of the limbs, like, your gp will ask about your symptoms and medical history, and examine the affected area, to help make a diagnosis., gout can also affect your mood, work and home life. the severe pain that gout causes can make it difficult to do everyday tasks and to get around",,"nsaids ), drinking, high blood pressure, flares ., sometimes, skin called tophi, medications like diuretics, like red meat, type of arthritis, permanent joint damage, joint feeling hot, needed to confirm"
greater trochanteric pain syndrome,"losing weight if you are overweight., try to keep active and stay at work even if you have to modify your duties., other ways to help improve symptoms include:, spreading your weight evenly across both feet and not leaning on just one leg",,"sometimes called hanging, buttock area ., , become irritated ., , ., avoid sitting, weight evenly across, gtps ), also, running ., pain, diagnosis ., pain, periods of walking, legs to keep"
gum disease,"loose teeth that can make eating difficult, diabetes – a lifelong condition that causes a person’s blood sugar levels to become too high, a weakened immune system – for example, because of conditions such as hiv and aids or certain treatments, such as chemotherapy, receding gums inbetween your teeth, bleeding, painful gums, excess saliva in your mouth, read more about the causes of gum disease., bad breath (halitosis), a metallic taste in your mouth, painful ulcers, if gingivitis isn’t treated, a condition called periodontitis can develop. this affects more tissues that support teeth and hold them in place",increased risk of,"make eating difficult, collections of pus, gum disease directly, :, gum abscesses, of gum disease, of gum disease, receding gums inbetween, place ., however, :, malnutrition –"
haemorrhoids (piles),"drinking plenty of fluid – particularly water, but avoiding or cutting down on caffeine and alcohol, being overweight or obese, a mucus discharge after passing a stool, bleeding or passing blood clots, which may happen a week or so after the operation, exercising regularly – can help prevent constipation, reduce your blood pressure and help you lose weight, the aim of electrotherapy is to cause the blood supplying the haemorrhoid to coagulate (thicken), which causes the haemorrhoid to shrink. if necessary, more than one haemorrhoid can be treated during each session., losing weight (if you’re overweight), anal fistula (a small channel that develops between the anal canal and surface of the skin, near the anus), a lump hanging down outside of the anus, which may need to be pushed back in after passing a stool, haemorrhoid symptoms often settle down after a few days, without needing treatment",terms of results,"urge to empty, place increased pressure, effective alternative to, delaying going to, apply directly to, sticky ., stenosis, large intestine ), , giving birth ., , bright red ), "
"hand, foot and mouth disease","a sore throat and mouth, the signs of hand, foot and mouth disease can include:, loss of appetite, coughing, hand, foot and mouth disease is a common illness. it causes mouth ulcers and spots on the hands and feet., abdominal (tummy) pain, the infection is not linked to foot and mouth disease, which affects cattle, sheep and pigs",linked to foot,"feet ., abdominal, signs of hand, sore throat, high temperature, affects cattle, mouth ulcers, mouth disease, mouth disease, mouth disease"
hay fever,"cough, caused by postnasal drip (mucus dripping down the throat from the back of the nose), many people find their symptoms improve as they get older., find out more about your hay fever symptoms, frequent sneezing, hay fever is a common allergic condition. it affects up to 1 in 5 people at some point in their life",,"life ., corticosteroids, certain extent ., , to reduce inflammation, guide to check, experience hay fever, hay fever ., , allergic conjunctivitis ), , of hay fever, of hay fever, hay fever"
head and neck cancer,"a persistent cough, hearing loss (usually only in one ear), noisy breathing, symptoms of mouth cancer can include persistent mouth ulcers and/or a lump in your mouth, both of which may be painful., shortness of breath, the symptoms of nose and sinus cancer are similar to viral or bacterial infections, such as the common cold or sinusitis, and include:, the most common symptoms of cancer in the oropharynx or hypopharynx include a lump in the neck, a persistent sore throat and difficulty swallowing., nosebleeds, difficulty or pain when swallowing, a persistent blocked nose, which usually only affects one side, nose and sinus cancer affects the nasal cavity (above the roof of your mouth) and the sinuses (the small, air-filled cavities inside the bones of the nose and within the cheekbones and forehead)",,"mucus running from, filled cavities inside, salivary gland cancer, nasopharyngeal cancer affects, affects one side, parotid glands ., , similar to viral, vast majority of, sinus cancer affects, cancer spreading to"
head lice and nits,"less reliable signs of head lice include:, small white eggs or nits (egg cases) in the hair behind the ears or at the back of the neck, an itchy scalp, a rash on the back of the neck, feeling as though something is moving in the hair",,"though something, itchy scalp, egg cases, back of, back of, hair behind, hair, rash, nits, neck"
headaches,"vomiting, nausea, watering or red eye, blocked or runny nose, pharmacy medications don’t usually ease the symptoms of a cluster headache. your gp can prescribe specific treatments to ease the pain and help prevent further attacks., migraines are less common than tension headaches",,"attacks ., migraines, guide to check, time of year, type of headache, time around, ., headaches, think of, sides of, side of, number of"
hearing loss,"listening to music or watching television with the volume higher than other people need, regularly feeling tired or stressed from having to concentrate while listening, cochlear implants – for people who find hearing aids aren’t powerful enough, lip reading and/or sign language – such as british sign language (bsl), you should also speak to your gp practice if you have signs of an ear infection, such as flu-like symptoms, severe earache, discharge or hearing loss., conductive hearing loss – when sounds are unable to pass from your outer ear to your inner ear, often because of a blockage such as earwax, glue ear or a build-up of fluid from an ear infection, perforated ear drum or disorder of the hearing bones, difficulty hearing other people clearly and misunderstanding what they say, especially in group situations, digital hearing aids – which are available through the nhs, sensorineural hearing loss – caused by damage to the sensitive hair cells inside the inner ear or damage to the auditory nerve, which can happen naturally with age or as a result of injury, bone anchored implants – suitable for people who are unable to use hearing aids and for some levels of sensorineural hearing loss, middle ear implants – suitable for some people who are unable to use hearing aids, asking people to repeat themselves, it isn’t always possible to prevent hearing loss if you have an underlying condition that causes you to lose your hearing., difficulty hearing the telephone or doorbell, early signs of hearing loss can include:, finding it difficult to tell which direction noise is coming from",,"sign language –, regularly feeling tired, cochlear implants –, british sign language, difficult to tell, also speak to, find hearing aids, perforated ear drum, outer ear to, listening to music"
heart attack,"when someone has a heart attack, it’s important to restore blood flow quickly. this’ll minimise damage to the heart muscle and start to alleviate symptoms., a chest x-ray, an assessment of blood pressure, blood tests – to check troponin levels, a protein that’s released into the blood stream when the heart muscle is damaged, an electrocardiogram (ecg) – to check your heart’s rhythm and electrical activity, an echocardiogram – to assess the structure and function of your heart, unconsciousness, you or someone else has symptoms like:, difficulty breathing (snoring or rasping), central chest pain or discomfort in the chest that doesn’t go away – it may feel like pressure, tightness or squeezing, a coronary angiogram – to identify any blood vessels that are narrowed or blocked, an assessment of blood oxygen levels, low or undetectable heart beat, chest pain and breathlessness, nausea, sweating or coughing up blood, seizures or fitting, pain that goes down the left arm, or both arms, or to the neck, jaw, back or stomach, rapid heart beat",,"go away –, feel like pressure, – to check, start to alleviate, minimise damage to, undetectable heart beat, rapid heart beat, heart muscle, heart muscle, heart attack"
heart block,"mobitz type 1 – this is the least serious type of second degree heart block – it may occasionally cause symptoms of mild dizziness and does not usually require treatment, third degree heart block, fainting (temporary loss of consciousness), certain medications, such as calcium-channel blockers and beta blockers (used to treat high blood pressure), amiodarone (used to treat abnormal heart rhythms) and pentamidine (used to treat some types of pneumonia), shortness of breath, nausea, a penetrating trauma to the chest, such as a stab wound or gunshot wound, fatigue, first degree heart block does not always cause any noticeable symptoms, and most people only become aware they have the condition when they are tested for an unrelated medical condition., cancer that spread from another part of the body into the heart, as a complication of radiotherapy (a treatment for conditions such as cancer, thyroid disorders and some blood disorders), palpitations (irregular heartbeat), congenital – where the condition is present at birth, lethargy (lacking in energy), people with second degree mobitz type 2 heart blocks are much more likely to experience the symptoms listed above. they may also experience additional symptoms such as:, other causes of second degree heart block include:, low levels of magnesium in the blood (hypomagnesemia), a large proportion of congenital third degree heart block cases develop in mothers who have an autoimmune condition, such as lupus (a long-term condition that causes inflammation in the body’s tissues)",,"sitting position –, artificial electrical device, :, tiring easily, hypertension ), light, wide range of, complication of radiotherapy, penetrating trauma to, receive enough blood, low blood pressure, also experience additional"
