disease,symptom,url_x,letter,name
Osteoarthritis of the hip,People may experience some or all of these symptoms including:,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/osteoarthritis-of-the-hip/,O,Osteoarthritis of the hip
Non-Hodgkin lymphoma,being previously exposed to the Human T-cell lymphotropic virus (HTLV),https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/non-hodgkin-lymphoma/,N,Non-Hodgkin lymphoma
Coronary heart disease,pain throughout the body,https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/coronary-heart-disease/,C,Coronary heart disease
Vaginal cancer,About vaginal cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/vaginal-cancer/,V,Vaginal cancer
Sjogren’s syndrome,"However, these symptoms can be common in old age, and most people with dry eyes or a dry mouth do not have Sjögren’s syndrome.",https://www.nhsinform.scot/illnesses-and-conditions/immune-system/sjogrens-syndrome/,S,Sjogren’s syndrome
Adenomyosis,"When you see your doctor about your symptoms, they’ll carry out what is called a pelvic examination. They’ll look at your vulva, vagina and cervix (the opening between the vagina and the womb) to see if there is something that could be causing your symptoms. Sometimes other tests might be needed. Your doctor will discuss this with you and you can ask any questions that you might have.",https://www.nhsinform.scot/healthy-living/womens-health/girls-and-young-women-puberty-to-around-25/periods-and-menstrual-health/adenomyosis/,A,Adenomyosis
Adenomyosis,heavy periods that last for a long time,https://www.nhsinform.scot/healthy-living/womens-health/girls-and-young-women-puberty-to-around-25/periods-and-menstrual-health/adenomyosis/,A,Adenomyosis
Kidney cancer,extreme tiredness (fatigue) or anaemia,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/kidney-cancer/,K,Kidney cancer
Impetigo,"There are 2 main types of impetigo, known as non-bullous and bullous impetigo, which have different symptoms. Most people with impetigo have the non-bullous type.",https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/impetigo/,I,Impetigo
Liver disease,"At this stage, possible symptoms can include loss of appetite, weight loss and jaundice.",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/liver-disease/,L,Liver disease
Prostate cancer,an inability to obtain an erection,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/prostate-cancer/,P,Prostate cancer
Vomiting in children and babies,Causes of vomiting in children include:,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/vomiting-in-children-and-babies/,V,Vomiting in children and babies
Acute cholecystitis,yellowing of the skin and the whites of the eyes (jaundice),https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-cholecystitis/,A,Acute cholecystitis
Lung cancer,persistent cough that may bring up blood-stained phlegm (this is normal and nothing to worry about),https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/lung-cancer/,L,Lung cancer
Bowel incontinence,Crohn’s disease – inflammation of the digestive system,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/bowel-incontinence/,B,Bowel incontinence
Post-traumatic stress disorder (PTSD),"You should visit your GP if you or your child are still having problems about four weeks after the traumatic experience, or if the symptoms are particularly troublesome.",https://www.nhsinform.scot/illnesses-and-conditions/mental-health/post-traumatic-stress-disorder-ptsd/,P,Post-traumatic stress disorder (PTSD)
Bone cancer,nausea and vomiting,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bone-cancer/,B,Bone cancer
Gallstones,Other symptoms may develop if the blockage is more severe or develops in another part of the digestive system.,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/gallstones/,G,Gallstones
Deafblindness,finding it hard to read facial expressions,https://www.nhsinform.scot/illnesses-and-conditions/eyes/deafblindness/,D,Deafblindness
Meniere’s disease,"surgery – only rarely, in more severe cases",https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/menieres-disease/,M,Meniere’s disease
Bipolar disorder,feeling full of great new ideas and having important plans,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/bipolar-disorder/,B,Bipolar disorder
Obstructive sleep apnoea,"Once a diagnosis of OSA has been made, you shouldn’t drive until your symptoms are well controlled.",https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/obstructive-sleep-apnoea/,O,Obstructive sleep apnoea
Erectile dysfunction (impotence),"Anything that affects the level of sexual desire (libido) can also cause erectile dysfunction because a reduced libido makes it more difficult for the brain to trigger an erection. Psychological conditions, such as depression, can reduce libido, as can changes in hormone levels (chemicals produced by the body).",https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/erectile-dysfunction-impotence/,E,Erectile dysfunction (impotence)
Gum disease,"Over time, acid in plaque begins to break down your tooth’s surface and causes tooth decay.",https://www.nhsinform.scot/illnesses-and-conditions/mouth/gum-disease/,G,Gum disease
Acute cholecystitis,an ultrasound scan of your abdomen to check for gallstones or other signs of a problem with your gallbladder,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-cholecystitis/,A,Acute cholecystitis
Bladder cancer,a burning sensation when passing urine,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bladder-cancer/,B,Bladder cancer
Womb (uterus) cancer,"Diabetes causes an increase in the amount of insulin in your body, which in turn can raise your oestrogen levels.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/womb-uterus-cancer/,W,Womb (uterus) cancer
Genital herpes,pain peeing or being unable to pee,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/genital-herpes/,G,Genital herpes
Acute lymphoblastic leukaemia: Teenagers and young adults,vincristine,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-teenagers-and-young-adults/acute-lymphoblastic-leukaemia-teenagers-and-young-adults/,A,Acute lymphoblastic leukaemia: Teenagers and young adults
Diverticular disease and diverticulitis,Having symptoms associated with diverticula is known as diverticular disease.,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/diverticular-disease-and-diverticulitis/,D,Diverticular disease and diverticulitis
Ovarian cancer,"If you have these types of symptoms, try keeping a diary to record how many of these symptoms you have over a longer period. Bear in mind that ovarian cancer is rare in women and anyone with ovaries under 40 years of age.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/ovarian-cancer/,O,Ovarian cancer
Anxiety disorders in children,"Young children are commonly afraid of things like the dark or imaginary things like monsters. This is a normal part of growing up, but has the potential to become a phobia (a type of anxiety disorder) when the fear becomes overwhelming and affects your child’s day-to-day life.",https://www.nhsinform.scot/illnesses-and-conditions/mental-health/anxiety-disorders-in-children/,A,Anxiety disorders in children
Personality disorder,Other symptoms can include:,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/personality-disorder/,P,Personality disorder
Cystitis,reduced appetite,https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/cystitis/,C,Cystitis
Kidney infection,"high temperature or lower body temperature than usual (under 36C, or 96.8F)",https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/kidney-infection/,K,Kidney infection
Restless legs syndrome,lithium,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/restless-legs-syndrome/,R,Restless legs syndrome
Bladder cancer,"an untreated infection called schistosomiasis, which is caused by a parasite that lives in fresh water – this is very rare in the UK",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bladder-cancer/,B,Bladder cancer
Common cold,There is a separate page on if your child has cold or flu symptoms.,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/common-cold/,C,Common cold
Skin cancer (melanoma),About melanoma,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/skin-cancer-melanoma/,S,Skin cancer (melanoma)
Acute lymphoblastic leukaemia,pale skin,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,A,Acute lymphoblastic leukaemia
Eye cancer,"shadows, flashes of light, or wiggly lines in your vision",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/eye-cancer/,E,Eye cancer
Peripheral neuropathy,"exposure to high levels of toxins, like arsenic, lead or mercury",https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/peripheral-neuropathy/,P,Peripheral neuropathy
Stomach ache and abdominal pain,Complete our self-help guide to check your symptoms and find out what to do next.,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/stomach-ache-and-abdominal-pain/,S,Stomach ache and abdominal pain
Cirrhosis,"very dark or black, tarry stools (faeces)",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/cirrhosis/,C,Cirrhosis
Vulval cancer,a lump or wart-like growth on the vulva,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/vulval-cancer/,V,Vulval cancer
Non-Hodgkin lymphoma,a high temperature (fever),https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/non-hodgkin-lymphoma/,N,Non-Hodgkin lymphoma
Mumps,joint pain,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/mumps/,M,Mumps
Overactive thyroid,"A short course of thionamides treatment may be given a few weeks before radioiodine treatment, as this can lead to a more rapid relief of symptoms.",https://www.nhsinform.scot/illnesses-and-conditions/glands/overactive-thyroid/,O,Overactive thyroid
Post-concussion syndrome,decreased concentration,https://www.nhsinform.scot/illnesses-and-conditions/injuries/head-and-neck-injuries/post-concussion-syndrome-pcs/,P,Post-concussion syndrome
Syphilis,Most people with syphilis don’t notice any symptoms and don’t know they have it. Symptoms change over time and may come and go.,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/syphilis/,S,Syphilis
Testicular cancer,infertility,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/testicular-cancer/,T,Testicular cancer
Depression,"Bipolar disorder – people with bipolar disorder, which is also known as “manic depression”, experience times of depression, where the symptoms are similar to clinical depression. They also go through phases when they have excessively high moods (known as “mania”). Bouts of mania can include harmful behaviour like unsafe sex, spending sprees and gambling.",https://www.nhsinform.scot/illnesses-and-conditions/mental-health/depression/,D,Depression
Benign prostate enlargement,"Each question has 5 possible answers that carry a score, and your overall score indicates the severity of your symptoms.",https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/benign-prostate-enlargement/,B,Benign prostate enlargement
Chest infection,breathlessness or rapid and shallow breathing,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/chest-infection/,C,Chest infection
Postnatal depression,"These symptoms can affect your day-to-day life and your relationships with your baby, family and friends.",https://www.nhsinform.scot/illnesses-and-conditions/mental-health/postnatal-depression/,P,Postnatal depression
Acne,loss of interest in sex,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,A,Acne
Allergies,"If you think you have an allergy, tell your pharmacist about the symptoms you’re having, when they happen, how often they occur and if anything seems to trigger them. Your pharmacist can offer advice and treatment for mild allergies with a clear cause.",https://www.nhsinform.scot/illnesses-and-conditions/immune-system/allergies/,A,Allergies
Benign prostate enlargement,"The symptoms of benign prostate enlargement are similar to those of other conditions, including prostate cancer. Therefore, your GP will need to be completely sure that your symptoms aren’t caused by cancer.",https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/benign-prostate-enlargement/,B,Benign prostate enlargement
Head lice and nits,a rash on the back of the neck,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/head-lice-and-nits/,H,Head lice and nits
Schizophrenia,"Friends and family can play a major role by monitoring the person’s mental state, watching out for any signs of relapse, and encouraging them to take their medication and attend medical appointments.",https://www.nhsinform.scot/illnesses-and-conditions/mental-health/schizophrenia/,S,Schizophrenia
Vulval cancer,"Symptoms of VIN are similar to those of vulval cancer, and include persistent itchiness of the vulva and raised discoloured patches. Speak to your GP if you have these symptoms.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/vulval-cancer/,V,Vulval cancer
Congenital heart disease,fainting,https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/congenital-heart-disease/,C,Congenital heart disease
Type 1 diabetes,deep breathing,https://www.nhsinform.scot/illnesses-and-conditions/diabetes/type-1-diabetes/,T,Type 1 diabetes
Hyperhidrosis,"Iontophoresis may help if you have excessive sweating that affects your hands or feet. It can also be used to treat armpits, although this is usually less effective.",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/hyperhidrosis/,H,Hyperhidrosis
Shingles,white patches (a loss of pigment) or scarring in the area of the rash,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/shingles/,S,Shingles
Iron deficiency anaemia,haematuria (blood in your urine) – but this rarely causes anaemia and may be a symptom of another condition,https://www.nhsinform.scot/illnesses-and-conditions/nutritional/iron-deficiency-anaemia/,I,Iron deficiency anaemia
Stomach ache and abdominal pain,a urinary tract infection (UTI) that keeps returning – you’ll usually also have a burning sensation when you urinate,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/stomach-ache-and-abdominal-pain/,S,Stomach ache and abdominal pain
Appendicitis,"After both types of surgery, the removed appendix is routinely sent to a laboratory to check there are no signs of cancer. This is a precautionary measure, although it’s rare for a serious problem to be found.",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/appendicitis/,A,Appendicitis
Skin light sensitivity (photosensitivity),a burning or heat sensation on the skin,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/skin-light-sensitivity/skin-light-sensitivity-photosensitivity/,S,Skin light sensitivity (photosensitivity)
Acute lymphoblastic leukaemia: Teenagers and young adults,blood tests – you’ll need more blood tests even if you’ve had some already to look at the changes in the leukaemia cells and help the doctors decide on the best treatment for you,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-teenagers-and-young-adults/acute-lymphoblastic-leukaemia-teenagers-and-young-adults/,A,Acute lymphoblastic leukaemia: Teenagers and young adults
Type 2 diabetes,The symptoms of diabetes occur because the lack of insulin means glucose stays in the blood and isn’t used as fuel for energy.,https://www.nhsinform.scot/illnesses-and-conditions/diabetes/type-2-diabetes/,T,Type 2 diabetes
Diverticular disease and diverticulitis,"In general terms, elective (non-emergency) surgery is usually successful, although it does not achieve a complete cure in all cases. Following surgery, an estimated 1 in 12 people will have a recurrence of symptoms of diverticular disease and diverticulitis.",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/diverticular-disease-and-diverticulitis/,D,Diverticular disease and diverticulitis
Pulmonary hypertension,amiloride,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/pulmonary-hypertension/,P,Pulmonary hypertension
Overactive thyroid,there is a higher risk of side effects,https://www.nhsinform.scot/illnesses-and-conditions/glands/overactive-thyroid/,O,Overactive thyroid
Deep vein thrombosis,These symptoms can also happen in your arm or tummy if that’s where the blood clot is.,https://www.nhsinform.scot/illnesses-and-conditions/blood-and-lymph/deep-vein-thrombosis/,D,Deep vein thrombosis
Low blood pressure,"Avoid caffeine at night and limit your alcohol intake – this will help you to avoid dehydration, which can cause low blood pressure.",https://www.nhsinform.scot/illnesses-and-conditions/heart-and-blood-vessels/conditions/low-blood-pressure-hypotension/,Unknown,
Common cold,high temperature (fever) – this is usually about 37°C to 39°C (98.6°F to 102.2°F),https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/common-cold/,C,Common cold
Hodgkin lymphoma,computerised tomography (CT) scan – this scan takes a series of X-rays that build up a 3D picture of the inside of the body to check the spread of the cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/hodgkin-lymphoma/,H,Hodgkin lymphoma
Soft tissue sarcomas,You should speak to your GP if you have a worrying lump or any other troublesome symptoms. A lump the size of a golf ball or larger should be regarded as suspicious and needs to be investigated urgently.,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/soft-tissue-sarcomas/,S,Soft tissue sarcomas
Testicular cancer,hair loss,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/testicular-cancer/,T,Testicular cancer
Spina bifida,antegrade continence enema (ACE) – surgery that links the bowel and a small opening (stoma) on the surface of the abdomen (tummy),https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/spina-bifida/,S,Spina bifida
Thyroid cancer,nausea,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/thyroid-cancer/,T,Thyroid cancer
Constipation,feeling bloated,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/constipation/,C,Constipation
Coeliac disease,just getting older,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/coeliac-disease/coeliac-disease/,C,Coeliac disease
Gum disease,The initial symptoms of gum disease can include:,https://www.nhsinform.scot/illnesses-and-conditions/mouth/gum-disease/,G,Gum disease
Personality disorder,feeling empty and emotionally distressed,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/personality-disorder/,P,Personality disorder
Long-term effects of COVID-19 (long COVID),Information and support if you have ongoing symptoms after coronavirus,https://www.nhsinform.scot/long-term-effects-of-covid-19-long-covid/,Unknown,
Bile duct cancer (cholangiocarcinoma),"asbestos – a fire-resistant material that was widely used in construction and manufacturing, but is now banned in this country",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bile-duct-cancer-cholangiocarcinoma/,B,Bile duct cancer (cholangiocarcinoma)
Heart block,fainting (temporary loss of consciousness),https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/heart-block/,H,Heart block
Stomach ulcer,diclofenac,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/stomach-ulcer/,S,Stomach ulcer
Gastro-oesophageal reflux disease (GORD),You can often control the symptoms of GORD by making some lifestyle changes and taking over-the-counter medication.,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/gastro-oesophageal-reflux-disease-gord/,G,Gastro-oesophageal reflux disease (GORD)
Septic shock,elderly people,https://www.nhsinform.scot/illnesses-and-conditions/blood-and-lymph/septic-shock/,S,Septic shock
Ulcerative colitis,painful and swollen joints (arthritis),https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/inflammatory-bowel-disease-ibd/ulcerative-colitis/,U,Ulcerative colitis
Kidney infection,bedwetting,https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/kidney-infection/,K,Kidney infection
Underactive thyroid,"It’s unlikely that you’d have many of the later symptoms of an underactive thyroid, because the condition is often identified before more serious symptoms appear.",https://www.nhsinform.scot/illnesses-and-conditions/glands/underactive-thyroid/,U,Underactive thyroid
Acute myeloid leukaemia,Symptoms of an infection can include:,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-myeloid-leukaemia/,A,Acute myeloid leukaemia
Haemorrhoids (piles),"The symptoms of haemorrhoids often clear up on their own or with simple treatments that can be bought from a pharmacy without a prescription. However, speak to your GP if your symptoms don’t get better or if you experience pain or bleeding.",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/haemorrhoids-piles/,H,Haemorrhoids (piles)
Peripheral neuropathy,"autonomic neuropathy – damage to the nerves that control bodily functions like digestion, bladder function and blood pressure",https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/peripheral-neuropathy/,P,Peripheral neuropathy
Seasonal affective disorder (SAD),indecisiveness,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/seasonal-affective-disorder-sad/,S,Seasonal affective disorder (SAD)
Ankylosing spondylitis,joint damage – leading to pain and stiffness,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/neck-and-back-problems-and-conditions/ankylosing-spondylitis/,A,Ankylosing spondylitis
Anaphylaxis,"If you think somebody is experiencing symptoms of anaphylaxis, you should use an adrenaline injector if one is available. Dial 999 immediately afterwards.",https://www.nhsinform.scot/illnesses-and-conditions/immune-system/anaphylaxis/,A,Anaphylaxis
Lung cancer,inflammation or infection of the lung (pneumonia),https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/lung-cancer/,L,Lung cancer
Diverticular disease and diverticulitis,Read more about the causes of diverticula.,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/diverticular-disease-and-diverticulitis/,D,Diverticular disease and diverticulitis
Bladder cancer,sausages and fatty cuts of meat,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bladder-cancer/,B,Bladder cancer
Dehydration,sunken eyes,https://www.nhsinform.scot/illnesses-and-conditions/nutritional/dehydration/,D,Dehydration
Croup,Some children have cold-like symptoms for a few days before developing croup symptoms. Croup symptoms usually only last for a few days and are often worse at night. But they can occasionally last up to 2 weeks.,https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/croup/,C,Croup
Mouth cancer,unexplained weight loss,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/mouth-cancer/,M,Mouth cancer
Acute pancreatitis,a viral infection – such as mumps or measles,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-pancreatitis/,A,Acute pancreatitis
Oesophageal cancer,a dry throat,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/oesophageal-cancer/,O,Oesophageal cancer
Thyroid cancer,"It involves taking powerful medicines that kill cancerous cells. It’s rarely successful in curing anaplastic cancer, but can slow its progression and help relieve symptoms.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/thyroid-cancer/,T,Thyroid cancer
Degenerative cervical myelopathy,pain or stiffness in the neck,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/neck-and-back-problems-and-conditions/degenerative-cervical-myelopathy/,D,Degenerative cervical myelopathy
Degenerative cervical myelopathy,"difficulty walking because the legs feel heavy, stiff or weak",https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/neck-and-back-problems-and-conditions/degenerative-cervical-myelopathy/,D,Degenerative cervical myelopathy
Congenital heart disease,"sweating, particularly when a baby is feeding",https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/congenital-heart-disease/,C,Congenital heart disease
Stomach ulcer,loss of appetite,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/stomach-ulcer/,S,Stomach ulcer
Degenerative cervical myelopathy,changing sensation around the bottom and/or genitalia,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/neck-and-back-problems-and-conditions/degenerative-cervical-myelopathy/,D,Degenerative cervical myelopathy
Deafblindness,one-to-one human contact,https://www.nhsinform.scot/illnesses-and-conditions/eyes/deafblindness/,D,Deafblindness
Eye cancer,retinoblastoma – a childhood cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/eye-cancer/,E,Eye cancer
Outer ear infection (otitis externa),some hearing loss,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/otitis-externa/,O,Outer ear infection (otitis externa)
Acute lymphoblastic leukaemia: Children,"The exact cause of ALL is unknown. Research is going on all the time into possible causes of this disease. Children with certain genetic disorders, such as Down’s syndrome, are known to have a higher risk of developing leukaemia. Brothers and sisters of a child with ALL (particularly identical twins) have a slightly increased risk of developing ALL themselves, although this risk is still small.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-children/acute-lymphoblastic-leukaemia-children/,A,Acute lymphoblastic leukaemia: Children
Idiopathic pulmonary fibrosis,Symptoms can include:,https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/idiopathic-pulmonary-fibrosis/,I,Idiopathic pulmonary fibrosis
Constipation,"anorectal manometry – where a small device with a balloon at one end is inserted into your rectum and attached to a machine that measures pressure readings from the balloon as you squeeze, relax and push your rectum muscles; this gives an idea of how well the muscles and nerves in and around your rectum are working",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/constipation/,C,Constipation
Soft tissue sarcomas,"A diagnosis of a soft tissue sarcoma will usually be made by a hospital specialist and will be based on your symptoms, a physical examination, and the results of:",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/soft-tissue-sarcomas/,S,Soft tissue sarcomas
Bipolar disorder,feeling self-important,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/bipolar-disorder/,B,Bipolar disorder
Kidney stones,an inherited condition that causes higher than normal levels of acid in the body,https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/kidney-stones/,K,Kidney stones
Dystonia,Generalised dystonia affects all parts of the body.,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/dystonia/,D,Dystonia
Tuberculosis (TB),"For example, you may need to be screened if you have been in close contact with someone known to have an active TB infection (an infection that causes symptoms), or if you have recently spent time in a country where TB levels are high.",https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/tuberculosis-tb/,T,Tuberculosis (TB)
Pelvic organ prolapse,"Depending on your circumstances and how severe your symptoms are, your doctor may discuss with you whether a surgery might be helpful. They will go through the options with you.",https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/pelvic-organ-prolapse/,P,Pelvic organ prolapse
Skin cancer (melanoma),ipilimumab,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/skin-cancer-melanoma/,S,Skin cancer (melanoma)
Gout,kidney problems,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/gout/,G,Gout
Mouth ulcer,crohn’s disease – a long-term condition that causes inflammation of the lining of the digestive system,https://www.nhsinform.scot/illnesses-and-conditions/mouth/mouth-ulcer/,M,Mouth ulcer
Cystitis,wiping your bottom after going to the toilet – particularly if you wipe from back to front,https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/cystitis/,C,Cystitis
Diverticular disease and diverticulitis,Other symptoms of diverticulitis can include:,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/diverticular-disease-and-diverticulitis/,D,Diverticular disease and diverticulitis
Bipolar disorder,"Avoiding alcohol and illegal drugs is an important part of recovery from episodes of manic, hypomanic or depressive symptoms, and can help you gain stability.",https://www.nhsinform.scot/illnesses-and-conditions/mental-health/bipolar-disorder/,B,Bipolar disorder
Indigestion,Barrett’s oesophagus does not usually cause noticeable symptoms other than those associated with GORD.,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/indigestion/,I,Indigestion
Idiopathic pulmonary fibrosis,pulmonary rehabilitation – exercises and advice to help you breathe more easily,https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/idiopathic-pulmonary-fibrosis/,I,Idiopathic pulmonary fibrosis
Testicular cancer,some types of pesticide,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/testicular-cancer/,T,Testicular cancer
Kidney cancer,headaches,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/kidney-cancer/,K,Kidney cancer
Penile cancer,a foul-smelling discharge,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/penile-cancer/,P,Penile cancer
Diabetes,weight loss and loss of muscle bulk,https://www.nhsinform.scot/illnesses-and-conditions/diabetes/diabetes/,D,Diabetes
