disease,Symptoms
vaginal discharge,"bleeding, by pain"
varicose eczema,"skin pain, swelling"
varicose veins,"any pain, blisters, flu, swelling"
venous leg ulcer,"diabetes swelling, fever, worsening pain"
vertigo,"dizziness, hearing loss, migraine, tinnitus, vertigo"
vitamin b12 or folate deficiency anaemia,"breathlessness, diarrhoea, fatigue, gas, headaches, inflammation, mouth ulcer, muscle weakness, tinnitus, tiredness"
vomiting in adults,"as vomiting, cholecystitis inflammation, diarrhoea, gas, severe pain, vomiting in adults"
vomiting in children and babies,"allergies, dehydration, flu, gas, itchy skin, painful swelling, projectile vomiting, rash, tummy pain, urticaria"
vulval cancer,"cancer bleeding, cancer pain, mouth ulcer, tiredness, vaginal discharge"
whooping cough,"cough, sore throat"
wilms’ tumour,"bleeding, diarrhoea, nausea, tiredness, vomiting"
wolff-parkinson-white syndrome,"chest pain, fainting, shortness of breath"
womb (uterus) cancer,"appetite fatigue, as pain, levels vomiting, spread nausea, tiredness, vaginal bleeding"
yellow fever,"muscle pain, treated nausea, vomiting, yellow fever"
zika virus,"back pain, joint pain, possible swelling, rash, rash fever"
